stimulus_num,old_num,name_target,name_interference,utterance,question,option1,option2,option3,option4,answer_index,answer,snr_db
1,23,Ryan,Bruce,"I still remember the day I went to a barbecue restaurant with my friends. It wasn’t a place we usually went to, so we had high expectations, but as soon as we sat down at the table, there was a strong burnt smell coming from the grill. We asked the staff to replace the grill, but the new one they brought wasn’t clean either. When we cooked the meat, the fat didn’t drain properly and kept burning, which made the meat taste off. On top of that, the ventilation system wasn’t working well, so the smoke kept getting in our eyes, making it hard to enjoy the meal. In the end, we had to leave with half the meat uneaten, and everyone went home feeling disappointed.",What is NOT a reason why people felt uncomfortable at the restaurant in this story?,Not sure,The strong burnt smell from the grill,The issue of the ventilation fan not working properly,The fact that the speaker couldn't eat it because the food was too spicy,4,The fact that the speaker couldn't eat it because the food was too spicy,0
2,224,Paige,Kelsey,"For the past few months, I've developed a habit of listening to music every morning. At first, I played random playlists, but recently I've been picking songs based on my mood. Today, since I was tired from staying up late yesterday, I played a calm piano piece. Thanks to that, I was able to quietly wake my mind while drinking coffee and get ready for work in a much more relaxed way. I've come to realize that calm music suits the morning better than lively pop songs.",What kind of music did the speaker choose this morning?,Not sure,A rock band music,A calm piano piece,An energetic pop songs,3,A calm piano piece,0
3,423,Edward,Riley,"Thanks to the novel I started reading a few days ago, I've been enjoying the feeling of traveling even while at home. Every time I read the scenes where the main character walks through an unfamiliar beach town, I almost hear the sound of the sea breeze in my ears, and the descriptions of drinking coffee at a small café on a street corner make me feel like I'm there with them. Even if I can't travel myself, having just one book makes it possible to experience a whole new world, and I find myself truly grateful for that.",What was the biggest impression the speaker had while reading the book?,Not sure,The fact that the main character traveled a lot.,The fact that one book is enough to vividly experience a whole new world.,The scene of drinking coffee at the cafe was interesting.,3,The fact that one book is enough to vividly experience a whole new world.,0
4,24,Icarus,Dean,"A few days ago, I was suddenly given a big project at work, and it felt overwhelming. To relax, I grabbed my favorite watercolor paints and brushes and sat down to paint. As I focused on the colors, my mind calmed down, and I started to feel more confident about handling the project. Painting helped me get through this challenge and feel ready to face my work again.","When feeling a heavy burden at work, what hobby did the speaker use to regain their composure?",Not sure,Cooking,Watercolor painting,Jogging,3,Watercolor painting,0
5,225,Catherine,Viqqie,"On graduation day, as I entered the gym, I saw the faces of my friends one by one, and it was the first time I saw Jacob, who usually just joked around, quietly crying. Even while listening to the valedictorian’s speech, I felt a lump in my throat. Thanks to the warm hug from our homeroom teacher at the end, all the emotions that had built up poured out, and I also ended up crying. The moment our classmates tightly held hands and exchanged thank-you greetings, the reality of parting hit us, and everyone burst into tears.",Who was the person quietly crying on graduation day?,Not sure,Jacob,Homeroom teacher,Principal,2,Jacob,0
6,425,CaptainBill,Riley,"After the graduation ceremony ended, I was taking pictures with my friends in the auditorium when I suddenly started crying. Even Steve, who usually just jokes around, quietly pulled out a handkerchief and wiped his eyes, which made it even harder for me to hold back my tears. On the way back to the classroom, we ran into our homeroom teacher in the hallway, and even though he’s usually stern, he looked at us with watery eyes. I’ll never forget when we wrote our names on the desks for the last time and held each other’s hands tightly.",What kind of demeanor did the homeroom teacher show to the students on graduation day?,Not sure,He smiled brightly.,He looked at us with teary eyes.,He took a photo with the students.,3,He looked at us with teary eyes.,0
7,25,Chase,Callan,"For the past few days, I’ve been meeting early every morning with my volleyball teammates to prepare for an in-school tournament by practicing in the gym. At first, I got tired quickly because I lacked stamina, but encouraging each other really boosted our motivation. On the day of the match, the tension was high, so I made more mistakes than usual, but in the final set, I scored a service ace, which made everyone happy. Thanks to that experience, I felt proud because our teamwork became even stronger.",What did the speaker do every morning while preparing for the tournament?,Not sure,Practicing with friends at the gym.,Studying alone at the library.,Practicing instruments in the music room.,2,Practicing with friends at the gym.,0
8,226,Catherine,Hailey,"A few days ago, I got in touch with a friend from middle school after a long time. We caught up on each other's news and laughed like we used to, but when it came to making plans to meet up, I felt conflicted. Memories of a small misunderstanding that had made me upset resurfaced, and I struggled with whether I should be honest about my feelings or just act as if nothing had happened and get along as before. In the end, I postponed making plans this time, but someday I want to find the courage to have an honest conversation.",What did the speaker decide about meeting the friend they hadn’t contacted in a long time?,Not sure,They decided to meet immediately.,They postponed the appointment.,They immediately opened up about their feelings.,3,They postponed the appointment.,0
9,426,Carl,Vivien,"A few days ago, my classmates and I began getting ready for a theater performance in the gym. We made wall decorations and posters, and we practiced our roles every day. Decorating the stage background was tough, but we worked together late into the night. Because of all our effort, lots of students came to watch on the day of the show, cheered for us, and our teacher praised everything we did.",What was the most challenging part of preparing for the theatre performance in the speaker’s class?,Not sure,Preparing the food.,Writing the play script.,The task of decorating the stage background.,4,The task of decorating the stage background.,0
10,26,SantaClaus,DollarJr,"One rainy day, I went to the zoo with my friends. We were taking pictures with our umbrellas near the giraffe enclosure when one giraffe got curious about my umbrella, stretched its neck, and gently licked the tip. Everyone was surprised and started laughing. That was the first time I noticed how soft a giraffe’s tongue is. Ever since then, whenever I open an umbrella, I remember that funny moment.",Which animal at the zoo licked the tip of the umbrella?,Not sure,Elephant,Giraffe,Monkey,3,Giraffe,0
11,227,Jodie,Paige,"There was someone at the pottery studio I go to every weekend who usually worked quietly by themselves. One day, they approached me and gave me a mug they had made as a gift. Although they rarely spoke, I could feel the warmth reflected in their work. Since that day, we naturally grew closer by talking about the pottery we each made and began sharing our creative processes. I still vividly remember being moved by the story behind the small patterns they engraved on their pottery.",What was the special thing that moved the speaker at the pottery workshop?,Not sure,Color of the mug,The stories behind the patterns engraved on pottery,The history of workshops,3,The stories behind the patterns engraved on pottery,0
12,427,Henry,Alex,"One rainy morning on my way to school, I forgot to bring an umbrella and had to walk to school soaking wet. At that moment, Jacob, a quiet classmate, came up and offered to share his umbrella with me. Although we didn’t talk much before, after that day, we gradually started sharing more about ourselves and grew closer. After exams, we even went to the school store together to get burgers, and we began confiding in each other about our worries. Thanks to my friendship with Jacob, school life felt much warmer.",What was the reason the speaker became close to Jacob?,Not sure,Because they studied for the exam together,Because they became close while working out together,Because they shared an umbrella on a rainy day,4,Because they shared an umbrella on a rainy day,0
13,27,Ron,Joshua,"Last Christmas, it snowed a lot, so my whole family gathered at a park near our house. My younger sibling and I built a snowman, and our parents prepared warm cocoa for us. We all took pictures together, and in the evening, we spent time playing board games at home with homemade cookies. We also exchanged gifts, and I gave my mom a hand-knit scarf, which she really loved. It was a special day filled with warm memories and smiles all around.",What activity did the family do together in the evening?,Not sure,They cleaned.,They played board games.,They watched a movie.,3,They played board games.,0
14,228,Glenda,Sophia,"For the past few days, every evening I've been practicing handwriting while watching YouTube videos. At first, I was gripping the pen too tightly, so my writing was crooked and unsatisfying. But today, when I suddenly relaxed my hand and wrote slowly, the round and neat handwriting I wanted came out naturally. I felt proud after filling a whole page in my practice notebook, and when I showed it to my mom, she complimented me, saying it looked pretty.",What method did the speaker try to achieve the desired results in handwriting practice?,Not sure,Wrote with a tighter grip.,Relaxed their hand and wrote slowly.,Changed the practice sheet.,3,Relaxed their hand and wrote slowly.,0
15,429,Helena,Cole,"While walking down the street with a friend, we stumbled upon a small workshop in an alley offering glass art experiences. On a whim, we went inside and were fascinated by watching clear glass melt and change shape in the fire. My first glass pendant turned out a bit crooked, but the feeling of shaping it with my own hands was amazing. Ever since then, I’ve been hooked on glass art, spending my weekends creating new designs.",How did the speaker first encounter glass art?,Not sure,They saw it in a magazine and became interested.,"While taking a walk with a friend, they happened to come across a workshop.",Participated as part of a hands-on activity during school class.,3,"While taking a walk with a friend, they happened to come across a workshop.",0
16,23,Bruce,Ryan,"I still vividly remember painting a mural with my friends in the art club after school. At first, the wall was so big that we didn’t know how to fill it, but as we each took on our own sections and shared ideas, the mural gradually came together, which made me really proud. I was especially happy when I got praised for the sunflower part I was responsible for.",Which part of the painting was the speaker responsible for?,Not sure,Cloud,Sunflower,Butterfly,3,Sunflower,0
17,224,Kelsey,Paige,"While traveling with friends, I tried enchiladas, a traditional Mexican dish, for the first time at a local restaurant. I usually don’t handle spicy food well, so I was a bit worried, but it was surprisingly delicious with its spicy kick and plenty of cheese on top. One of my friends dislikes cilantro, so they ordered their dish without it. This turned into a great opportunity to talk about our different taste preferences and share our food experiences.",What was the first foreign dish the speaker tried while traveling?,Not sure,Enchiladas,Pasta,Sushi,2,Enchiladas,0
18,423,Riley,Edward,"It was pouring rain, so we carefully headed to the movie theater with umbrellas. After getting our tickets, my shoes were completely soaked, but seeing my partner’s face after a long time instantly lifted my spirits. Before the movie started, we bought popcorn and shared it while talking about which scenes we were looking forward to. Throughout the movie, the sound of rain faintly echoed outside the theater, and by the time the ending credits rolled, the rain had eased up a bit, so we opened our umbrellas again and stepped outside.",What did the speaker do with their partner before the movie started?,Not sure,They shared popcorn and talked about the scenes they were looking forward to.,They drank coffee while looking out the window.,They waited to borrow an umbrella.,2,They shared popcorn and talked about the scenes they were looking forward to.,0
19,24,Dean,Icarus,"One day during our school trip, I happened to have a long conversation with a classmate. That night, while taking a walk along the beach, we confessed our feelings for each other for the first time. Even after returning home, we carefully continued our relationship by exchanging handwritten letters. I still vividly remember the moment we secretly chose a meeting spot and shyly held hands.",Where was the place where the two people first confessed their feelings to each other during the school trip?,Not sure,School playground,Restaurant,On the beach,4,On the beach,0
20,225,Viqqie,Catherine,"I once had to spend the night at the airport due to a delayed flight. There were hardly any cafes or places to rest, so I kept dozing off in the chairs. To make matters worse, the wheels on my suitcase broke that day, making a loud noise whenever I moved it, which was embarrassing. I arrived at my hotel early in the morning, only to find the room I booked wasn’t ready, so I had to wait a while. It was tough, but now I often look back on the story and laugh about it with my friends.",What problem caused the speaker to spend the night at the airport during their trip?,Not sure,Flight delay,Hotel reservation issues,Lost luggage,2,Flight delay,0
21,425,Riley,CaptainBill,"I put on my wetsuit and boarded the boat, heading out to sea. As soon as I entered the water, a world filled with blue light unfolded before me. A small school of fish brushed past my side, and a yellow seahorse moved slowly among the coral reefs. The calmness and mystery that I couldn't experience above the surface enveloped me, and the bubbles I exhaled sparkled in the sunlight. After a long time, looking down at the ocean floor, I felt grateful for the peace that nature provides.",What marine creature did the speaker mention seeing in the ocean?,Not sure,Yellow seahorse,Blue dolphin,Red octopus,2,Yellow seahorse,0
22,25,Callan,Chase,"A few days ago, I visited my grandmother’s house with my parents. She cooked corn that she had grown herself, and the delicious smell filled every room. I spent the afternoon playing hide-and-seek with my cousins in the yard, and we cooled off by dipping our feet in the cold well water. That evening, we all sat together, eating sweet watermelon and sharing funny stories from the day. My grandmother’s warm laughter still echoes in my mind.",What did the family eat together in the evening during the summer vacation?,Not sure,Corn,Watermelon,Potato,3,Watermelon,0
23,226,Hailey,Catherine,"I still vividly remember painting a mural with my friends in the art club when I was in sixth grade. At first, the wall seemed so big and overwhelming, but as each of us filled in our assigned sections little by little, everyone got excited seeing the painting come together. After we finished, the principal praised us, and we took pictures with our club friends—it was a truly proud day.",What activity did the speaker do with their friends in the art club?,Not sure,Mural painting,Preparing for a music performance,Making robots,2,Mural painting,0
