stimulus_num,old_num,name_target,name_interference,utterance,question,option1,option2,option3,option4,answer_index,answer,snr_db
1,72,Matthew,Callan,"A few days ago, while having lunch at a park near my office, I suddenly noticed a small puppy shivering in the rain. At first, I tried to just walk past, but I couldn't stop thinking about the puppy, and it made me feel uneasy. Even after I got home, the image stayed with me, so I searched online for animal shelters, looked at the photos and read the stories of the animals living there, and eventually decided to adopt one of them.",What made the speaker decide to adopt a stray animal?,Not sure,Seeing a dog caught in the rain at the park.,A friend’s recommendation to get a puppy.,Watching cat videos on the internet.,2,Seeing a dog caught in the rain at the park.,0
2,267,Sara,Paige,"A few days ago, I said goodbye to Max, the cat who had been with me for a long time. When I came home, the house felt unusually quiet without Max rushing to the front door to greet me like usual. Every time I prepare a meal, I keep thinking of Max quietly waiting by my side, and at night, I miss the feeling of Max resting on my lap and falling asleep. Although it still doesn’t feel real that Max is gone, I’m trying to cherish the warm memories we shared.",Which of the following warm memories with the cat Max did the speaker NOT mention?,Not sure,The way Max greeted them at the front door,The feeling of Max falling asleep on the speaker's lap,Walking in the garden,4,Walking in the garden,0
3,473,Liam,Rita,"A few days ago, the mobile app development project our company was working on finally wrapped up. In the beginning, there were frequent disagreements among team members, which caused some delays in the schedule. However, by sharing each person's progress during short daily morning meetings, our collaboration gradually improved. I remember the process of revising the design twice based on user feedback. When I downloaded the finished app myself, I felt proud thinking about all the effort we had put in.",What did the team do every morning to ensure smooth collaboration while working on the project?,Not sure,User feedback survey,A brief meeting with the team members,Design draft creation,3,A brief meeting with the team members,0
4,73,Slushy,Frankenstein,"One afternoon, I was chatting with my friends on a bench outside the library when it began to downpour. My friends and I chattered about our worries and shared laughter when we were suddenly forced inside the library due to the rain. The most memorable moment was sharing cup noodles while watching the rain through the window. At that moment, I was truly happy, able to forget all the worries of college life.",What was the most memorable moment the speaker shared with their friends?,Not sure,The moment they took shelter from the rain and shared cup noodles.,The moment they stayed up all night together working on an assignment.,The moment they prepared for the club performance together.,2,The moment they took shelter from the rain and shared cup noodles.,0
5,268,Chloe,Zoey,"As the project was nearing its final stages, I felt uneasy about the lack of communication with my team members. Since it was my first time, I tried to handle everything on my own, and as a result, I missed some crucial data, causing delays in the schedule. The team leader kindly gave me advice at that time, but I felt heavy-hearted for a while, thinking that my mistake had burdened the team. I made a resolution to ask for help more honestly next time.",What was mentioned as the main cause of the project delay in the speaker's statement?,Not sure,The team leader's carelessness,Missing important data,Excessive workload distribution,3,Missing important data,0
6,474,Chloe,Chase,"On a rainy afternoon, I sat on the living room sofa, spending time with my dog Max. Unlike usual, Max didn’t play with his toys but quietly rested on my lap. As I read my book and watched Max sleeping, I felt an inexplicable sense of peace. After a while, Max woke up, wagged his tail, and came over to me. I gave him a small treat, and we watched a movie together. It was an ordinary day, but it felt precious.",What did Max not do on the rainy day that he usually does?,Not sure,Did not eat a snack,Did not go for a walk,Did not play with his toys,4,Did not play with his toys,0
7,74,Bruce,Vincent,"Before sunrise, when I put on my sneakers and step outside during the quiet hours, the air is cold but clear, which makes me feel refreshed. As I walk along the early morning trail, I hear only my breath through the light mist, and sometimes I come across passing cats or dogs. Watching the darkness lift and the sky gradually brighten as I start my day feels like a small happiness. ",What animals did the speaker mention encountering while exercising early in the morning?,Not sure,Cats and dogs,Pigeons and sparrows,Rabbits and the squirrels,2,Cats and dogs,0
8,269,Starling,April,"I remember being left alone in the conference room after the project ended. It was my first assignment, and I was too eager, so I went ahead on my own without really consulting the team, which led to failure. Then the team leader quietly came over and said, ""Let's think it through together next time."" That made me feel both reassured and sorry. I promised myself that next time, I’d slow down and make sure to listen to everyone’s ideas.",What did the speaker mention as the biggest cause of project failure in the statement?,Not sure,Lack of direction from the team leader,Acting too hastily and making unilateral decisions,The schedule was too tight,3,Acting too hastily and making unilateral decisions,0
9,476,Lucille,Hans,"A few days ago, I had dinner with my family for the first time in a while. During this dinner, my brother started crying quietly. Everyone was taken aback, but seeing my sibling honestly open up about some recent difficulties at school broke my heart. I felt sorry for not realizing that my sibling, who always seemed cheerful, had been struggling so much inside. Since that day, I’ve been determined to check in more often and pay attention to even the smallest changes.",Why did the speaker's sibling cry during the family meal?,Not sure,Because something happy happened.,They were having a hard time at school.,Because of a stomachache.,3,They were having a hard time at school.,0
10,75,Ron,Jackson,"A few days ago, while preparing a welcome event for new members at the club, I unknowingly ended up taking on the role of leader. At first, I was unsure about who should be assigned to what tasks. However, once we identified everyone's strengths and divided the work accordingly, everyone participated naturally, and as a result, the preparation went much more smoothly. Through this experience, I realized that rather than trying to do everything on my own, collaborating by leveraging each other's strengths leads to better outcomes.",What did the speaker learn while preparing a welcome party for new members at the club?,Not sure,That handling everything alone is more efficient.,That freshmen are not interested in club activities.,Leveraging each other's strengths and working together leads to good results.,4,Leveraging each other's strengths and working together leads to good results.,0
