stimulus_num,old_num,name_target,name_interference,utterance,question,option1,option2,option3,option4,answer_index,answer,snr_db
1,33,Rusty,Noa,"I was reading a book with the window open when suddenly my cat, Mini, stared intently out the window and tapped her tail twice on the floor. At that moment, a breeze came from somewhere and turned a page of my book. I’m not sure if Mini saw something outside or sensed the wind coming, but in that brief moment, even though we said nothing, it felt like we understood each other somehow, and it was amazing.",What is the correct description of the action the cat Mini took while looking out the window?,Not sure,Mini suddenly burst into tears.,Mini tapped her tail twice on the floor.,Mini jumped out the window.,3,Mini tapped her tail twice on the floor.,0
2,234,Janet,Harper,"One weekend when it was raining outside, I took out my watercolor supplies for the first time in a while. Normally, I try hard to paint perfectly, but that day I deliberately used a lot of water and let the colors bleed. The result was more natural and beautiful than I expected, which surprised me. Thanks to that experience, I realized that sometimes better results come when you don’t try to control everything exactly as you want.",What method did the speaker try that was different from usual when painting a watercolor?,Not sure,Using a pencil instead of a brush.,Using a lot of water and letting the colors bleed.,Painting by mixing oil paints.,3,Using a lot of water and letting the colors bleed.,0
3,437,Margot,Doug,"One day, when I got home earlier than usual, I met the puppy we’d adopted from the shelter for the first time. As I opened the door, I remember how quietly it watched me, looking a bit nervous in the new place. When I slowly reached out my hand, the puppy hesitated, then gently sniffed my fingers and started wagging its tail. In that moment, I felt a warm rush and realized I could really become this little friend’s family.",How did the puppy react when it first met the speaker?,Not sure,"After hesitating for a long time, it sniffed the speaker's fingertips.",It ran over and hugged them right away.,It backed away while barking.,2,"After hesitating for a long time, it sniffed the speaker's fingertips.",0
4,34,Frankenstein,Simon,"A few days ago, before an important project presentation at work, my team had many conflicting opinions, so we held repeated meetings late into the night. Everyone kept insisting on their own points, which actually made progress feel slower and more frustrating. In the end, I honestly explained the situation to the boss, and after receiving advice to clearly divide each person's role, the atmosphere started to lighten up. Since that day, the work distribution has been clear, and my concerns have significantly decreased.",What advice did the speaker find most helpful in resolving conflicts within the team?,Not sure,Advice to reduce overtime work,Advice to clearly divide roles,Advice to have a meal with team members,3,Advice to clearly divide roles,0
5,237,Janet,Olivia,"A few days ago, I finally took my first trip abroad to Spain. Since it was my first time flying, I was nervous even before entering the departure area. After wandering around the airport, I finally found the gate, and looking out the airplane window at the clouds filled me with excitement. After arriving, it was hard to choose the food I wanted at the convenience store due to my poor Spanish, but I felt good after eating the Quesadilla kindly recommended by the staff.",What did the speaker experience at the convenience store while traveling abroad?,Not sure,The employee gave directions in English.,"The speaker couldn't decide what food to choose, so they asked for a recommendation.",The employee did not assist with the payment.,3,"The speaker couldn't decide what food to choose, so they asked for a recommendation.",0
6,438,Damian,Valerie,"For the past few days, I have been trying to meditate every evening in a quiet room. At first, it was hard to focus because random thoughts kept swirling in my mind, but as I slowly paid attention to my breathing, I felt my mind calming down. Yesterday, when I closed my eyes and listened deeply to my breath, my everyday worries eased for a moment, and a sense of inner peace came over me. I hadn't realized that meditation could help stabilize emotions like this.",What did the speaker focus on to concentrate during meditation?,Not sure,The sound outside the window,Breathing,The brightness of the lighting,3,Breathing,0
7,35,Philip,Edward,"One rainy day, I was sitting on the sofa reading a book when my dog Max quietly came over and rested his head on my lap. Feeling Max’s warm body, my heart somehow calmed down, and some of my worries seemed to fade away. When I'm with Max, I naturally learn how to find happiness in the little moments of everyday life.",What did Max do on the rainy day?,Not sure,Hid under the couch.,Looked out the window.,Rested its head on the speaker's lap.,4,Rested its head on the speaker's lap.,0
8,238,Helena,Lucille,"It feels like just yesterday that I was pulling all-nighters doing assignments in the library, but now I can’t quite believe that I’m about to graduate. I’ll always remember the last dinner with my club seniors, where everyone honestly shared their hopes and anxieties about their future paths. Especially the day I spent with a friend, taking photos all around campus to capture memories—it made even the everyday sights that I usually overlooked feel unexpectedly precious.",What activities did the speaker and their friend do together before graduation?,Not sure,Playing games in the club,Taking photos all around campus,Borrowed a book from the library,3,Taking photos all around campus,0
9,439,Tina,River,"A few days ago, I was walking through an old alley with a friend when we happened upon a small restaurant. The sign was worn, and the interior was simple, but the Philly Cheesesteak we had there was so delicious that I can't forget it. The spicy and sweet sauce, the chewy, soft bread, and the freshly grilled steak were delicious; taking a bite instantly brought back memories of eating Philly Cheesesteak as a kid. Paired with warm French fries seasoned with a special spice blend, it made an ordinary day feel special.",What food did the speaker mention eating at the restaurant?,Not sure,Ramen and dumplings,Philly cheesesteak and french fries,Fried rice and pork cutlet,3,Philly cheesesteak and french fries,0
10,36,Ron,JackoLantern,"A few days ago, my classmates and I gathered in one corner of the classroom to start preparing for the festival booth. We divided up the roles, and I, in charge of decorations, decorated the wall with colored paper and balloons. There were many mistakes as we practiced singing and dancing together, but we laughed with each other, and the atmosphere quickly improved. Finally, on the day of the festival, more students than expected came to our booth to enjoy the games, and all the snacks we prepared were gone, leaving us feeling proud.",What role did the speaker take while preparing for the festival booth?,Not sure,Person in charge of snack preparation,In charge of song practice,In charge of decoration,4,In charge of decoration,0
11,239,Starling,Audrey,"A few years ago, when I traveled alone to Hawaii, I was pretty nervous at first because everything was unfamiliar and I was by myself. But as I climbed Mauna Kea, chatted with people I met, and got help from locals when I got lost, I slowly became more confident. Since then, I’ve become someone whose curiosity outweighs fear in new situations, and I don’t hesitate to try new things.",What was the biggest change the speaker experienced through the trip to Hawaii?,Not sure,Taste in food has changed.,Felt curiosity instead of fear.,Learned how to take photos.,3,Felt curiosity instead of fear.,0
12,440,Edward,Athena,"When I was struggling with how overwhelming my recent project was, my senior, Mrs. Thompson, kindly suggested we have lunch together. She genuinely listened to me throughout the meal and warmly comforted me by sharing that she had gone through similar times. Her advice to not fear failure and to build up small successes was especially encouraging. Since that day, whenever I face difficulties, I occasionally seek advice from Mrs. Thompson, and have learned a lot from her.",What advice did Mrs. Thompson give during lunch?,Not sure,Not to fear failure and to build up small successes.,To listen carefully to my boss.,Would be better to change teams.,2,Not to fear failure and to build up small successes.,0
13,37,Hugh,Santa,"A few days ago, while taking a walk through a quiet alley in Seattle, I happened to find a small coffee shop. Outside the window, the fir trees were turning yellow, and I drank a warm coffee while admiring the scenery. I had a brief conversation with the owner, who told me the coffee beans were homemade and kindly offered me another cup, which made the experience feel special. The scent and tranquility of that day still remain in my heart.",What did the owner offer the speaker?,Not sure,Warm herb tea,Another cup of coffee,Walnut pastry,3,Another cup of coffee,0
14,240,Lucille,Patricia,"All my friends were busy, so I ended up going on a trip to Chicago alone. It was my first time taking a train by myself, so I was nervous, but looking at the scenery outside the window quickly put me at ease. While walking along Oak Street Beach, I happened to enter a small café, and the coffee brewed by the owner himself tasted truly special. Being alone actually allowed me to explore freely here and there, and I experienced unexpected little joys.",What special experience did the speaker have at a café they randomly visited while traveling alone?,Not sure,They tried the dessert made personally by the owner.,They drank coffee personally brewed by the owner.,The owner provided free cookies.,3,They drank the coffee personally brewed by the owner.,0
15,441,Lloyd,AnnabelletheGhost,"A few days ago, I had my first video call with a Mexican friend I met on a language exchange app. I was nervous and kept my notes with Spanish sentences nearby so I wouldn’t forget what to say. During our chat, we showed each other photos from our daily lives and laughed while talking about food. My friend even shared a homemade taco recipe. It was a great experience, not just for learning Spanish, but also for discovering more about the culture. Now, I really want to visit Mexico someday.",What did the speaker say their friend told them during the video call?,Not sure,Hobbies,A taco recipe,Korean food recipes,3,A taco recipe,0
16,33,Noa,Rusty,"A few days ago, I met up with a friend I’d only kept in touch with for a while. We used to share everything, but this time, our conversation kept breaking off awkwardly. Even as we walked together, the silence wasn’t comfortable like before—it was filled with the struggle to find something to say. Our lives had changed so much that it wasn’t easy to laugh or joke around like we used to. I wasn’t sure what to do about our friendship, but on the way home, I felt a strange sense of sadness.",What emotion best describes how the speaker felt after meeting a friend for the first time in a long while?,Not sure,Regret over things being different than before,Angry,Indifference,2,Regret over things being different than before,0
17,234,Harper,Janet,"After lunchtime, when the office had quieted down a bit, I made coffee with my colleague Sarah in the break room. We faced each other, laughing as we talked about a small mistake that had happened that morning. On my way back with the coffee cup in hand, I looked out the window and saw the sunlight gently resting on the gray glass. That brief moment of calm amidst the busy workday stayed with me for a long time.",What did the speaker talk about with their colleague Sarah after making coffee in the break room?,Not sure,Recent movies they’ve watched,A story about the mistake that happened this morning,Stories about family,3,A story about the mistake that happened this morning,0
18,437,Doug,Margot,"One day, feeling bored with my usual routine, a friend shared their experience of living abroad. After hearing their story, I strongly felt the desire to live in a new environment myself. In the end, I submitted a leave of absence at work and booked a plane ticket for a month later. My parents were worried, but knowing my determination, they supported me. That’s how I began my life abroad, filled with both nervousness and excitement.",What made the speaker decide to move abroad?,Not sure,At the recommendation of their parents,Hearing about their friend's life abroad,Through a recommendation from a coworker,3,Hearing about their friend's life abroad,0
