stimulus_num,old_num,name_target,name_interference,utterance,question,option1,option2,option3,option4,answer_index,answer,snr_db
1,12,Kevin,Patrick,"For Thanksgiving, all the relatives gathered at my grandmother’s house for the first time in a while. We played Jenga with my cousins while eating the cookies my aunt made. The tower kept falling over after only a few turns, so everyone kept laughing. At night, I won first place in a trivia competition prepared by my uncle and received a small box of chocolates as a prize. Celebrating Thanksgiving with my family always creates special memories.",What gift did the speaker receive at the trivia contest prepared by their uncle?,Not sure,Book,A box of chocolates,A basketball,3,A box of chocolates,0
2,212,Echo,Annie,"Recently, I had been drawing as a hobby so intensely that my wrist started hurting, so I didn't hold a pencil for a few days. At first, I felt anxious because I thought it was a waste of time, but taking a break after all that time allowed me to relax by listening to music. Thanks to that, when I started drawing again, my mind felt much lighter, and I found choosing colors far more enjoyable than before.",What is something that wasn’t mentioned by the speaker as something they did while taking a break from drawing?,Not sure,Listening to favorite music,Relaxing,Cooking,4,Cooking,0
3,412,Sophia,Ben,"The time I spend alone having brunch at a small café near my house every weekend is becoming increasingly precious. This time, I ordered a croissant sandwich, refreshing orange juice, and the crispy bread combined with fresh vegetables, filled me with happiness. Sunshine streamed in through the window, and as I enjoyed my own time, I was able to put my worries aside for a while. With the addition of soothing music, that short time became a great comfort.",What combination of food and drink did the speaker have for brunch this time?,Not sure,Croissant sandwich and orange juice,Pancakes and coffee,Bagels and black tea,2,Croissant sandwich and orange juice,0
4,13,Cyrus,Hugh,"I decided to play board games at home with my older brother over the weekend. This time, it was a new strategy game. At first, I was leading, but then my brother suddenly turned the tables and won in the final round. I felt a bit disappointed, but it was fun to see how happy he was, and I jokingly taunted him and told him that I would win him next time. After the game, we shared some snacks and spent a long time laughing while analyzing the game.",What did the siblings do after playing the board game?,Not sure,They analyzed the game while having a snack.,They went out for a walk in the park.,They went to the movie theater together.,2,They analyzed the game while having a snack.,0
5,213,Zoey,Camila,"Last summer, I went on a trip to the beach in South Carolina with my family. In the car, my younger sibling and I shared sweet potato chips while watching the scenery outside the window. As soon as we arrived, my father set up a picnic tent and table on the spot, and I helped my mother prepare the barbecue. In the evening, we built sandcastles on the beach and enjoyed a small fireworks display. When we returned to the cabin for the night, we all played board games together for the first time in a while, laughing nonstop.",What activity did the speaker's family enjoy together in the evening during the trip?,Not sure,Swimming at the beach,Building sandcastles and watching fireworks,Visiting an amusement park,3,Building sandcastles and watching fireworks,0
6,413,Rachel,Patrick,"On an evening when I could hear the rain outside the window, I sat on the couch and opened a book. With a warm cup of tea by my side, I read one of my all-time favorite novels for the first time in a while, and time flew by quickly. Suddenly, my cat climbed onto my lap and watched my hand turn the pages. Every time I turned a page, the cat tilted its head, and finding that so cute, I paused reading to close the book and pet him. In that moment, my mind was calm and free of any worries.",What did the cat do while the speaker was reading the book?,Not sure,Looked out the window.,Looked at the hand turning the pages on the speaker’s lap.,Ran around the room,3,Looked at the hand turning the pages on the speaker’s lap.,0
7,14,Logan,Patrick,"I experienced riding in a spaceship with my friend while doing a virtual reality simulation, and at first, the sensation of my body floating in zero gravity was truly amazing. When walking on the moon's surface, my feet didn't touch the ground properly, so each jump felt like I was flying much farther. Looking out the window from inside the spaceship as Earth slowly drifted away made me feel as if I were actually floating in space, and it was really exciting.",What did it feel like when the speaker walked on the surface of the moon during the virtual reality space travel experience?,Not sure,Each jump felt like flying much farther.,"The steps felt heavy, making it hard to move.","The wind was blowing strongly, making it hard to keep balance.",2,Each jump felt like flying much farther.,0
8,214,Rebecca,Glenda,"A few days ago, I took the puppy I adopted from the shelter to the vet for the first time. The puppy seemed nervous in the unfamiliar environment and kept trying to climb onto my lap, while I asked the vet lots of questions in the exam room. We had a thorough health check, received the vaccination schedule, and found out there was a small tick inside the puppy’s ear. After hearing all of the test results, I felt much more at ease.",What health-related fact did the speaker learn about the dog at the animal hospital?,Not sure,The dog has no appetite.,There was a tick inside its ear.,The dog has a heart problem,3,There was a tick inside its ear.,0
9,414,Oscar,Annie,"A few days ago, a friend suddenly contacted me and came to my house carrying a small box. When I opened the box, a tiny gray kitten cautiously peeked out. At first, it hid under the bed, probably because of the unfamiliar environment, but when I quietly reached out my hand and slowly approached, it soon sniffed my fingertips and relaxed its guard a little. That evening, I warmed some milk and poured it into a small bowl, and only then did the kitten, seemingly very hungry, start eating eagerly. ",What behavior did the kitten show when it first came to the speaker's home?,Not sure,Cried out loud.,It hid under the bed.,It licked the speaker’s hand right away.,3,It hid under the bed.,0
10,15,Cole,UncleHank,"As soon as summer vacation started, I went to my grandmother’s house with my parents. Upon arrival, my grandmother asked me to pick cucumbers and tomatoes that she had grown, so I went into the garden for the first time. My hands got covered in dirt, but strangely, after washing the freshly picked vegetables, they tasted much sweeter and more delicious than usual. In the evening, the whole family gathered around to eat potato pancakes that my grandmother made, and she told us stories about summers in the countryside when she was young. The laughter lasted late into the night.",What food did the family eat together at the grandmother's house in the evening?,Not sure,Lettuce,Potato pancakes,Watermelon,3,Potato pancakes,0
11,215,Janet,Margaret,"I once joined a pottery class on a friend's recommendation. At first, I was clumsy handling the clay and couldn't shape it properly, but as I got more used to it, I found the process of creating a bowl with my own hands truly fascinating. Every time I use the finished bowl at home, I feel a small sense of accomplishment and pride, so pottery has become more than just a hobby—it's a valuable experience for me.",What activity did the speaker participate in because of a friend’s recommendation?,Not sure,Gardening class,Yoga class,Ceramics class,4,Ceramics class,0
12,415,Kelly,Dean,"I still can't forget the day I went on a trip to the beach with my friends a few years ago. I experienced paragliding for the first time, and the moment I flew through the sky with the wind, I felt truly free and happy, looking down at the blue sea and sparkling sandy beach below. We built sandcastles with my friends on the beach, cooked dinner with clams we caught ourselves, laughed a lot, and took so many photos—it was a precious day.",What did the speaker and their friends catch and cook for dinner?,Not sure,Fish,Clams,Lobster,3,Clams,0
13,16,SantaClaus,Hugh,"One evening, as the soft sound of rain came through the window, I wrapped myself in a warm blanket and lay on the sofa, reading my favorite novel. With calming lighting and a fragrant cup of herbal tea by my side, it felt like I was in a cozy little café, and my mind grew peaceful. In that moment, I was able to forget the worries of the outside world and fully enjoy resting in my own space, feeling truly happy.",What activity did the speaker enjoy while lying on the sofa?,Not sure,Drank hot chocolate,Read a novel,Watched television,3,Read a novel,0
14,217,Alex,ReporterCatalina,"One day, when the repetitive weekend routine started to feel boring, a friend handed me a novel they had written and asked me to read it. I had never been interested in writing stories before, but as I read it, I felt like I wanted to express something inside me as well for the first time. Since then, I developed a habit of writing short pieces every evening, and each time I write, I feel like my thoughts and emotions are getting clearer, making the creative process increasingly enjoyable.",What led the speaker to start writing?,Not sure,Reading a novel a friend wrote,Accidentally attending a writing lecture at a bookstore,Family encouragement,2,Reading a novel a friend wrote,0
15,416,DollarJr,Sara,"A few weeks ago, a friend suddenly suggested going for a bike ride, so without much thought, I rented a bike from the local bike rental shop and gave it a try. At first, it was a bit difficult to keep my balance, so I wobbled a little, but riding along the river with the wind in my face felt incredibly refreshing. When I got home, my legs were a little sore, but I felt refreshed, probably because I hadn't broken a sweat in a while. Since that day, biking has become my little weekend pleasure.",Where did the speaker go biking with a friend?,Not sure,Park,Along the river,School playground,3,Along the river,0
16,12,Patrick,Kevin,"I still remember the moment when I was sitting on a bench in front of the library, soaking up the sunlight. The nervousness of stepping onto an unfamiliar campus, the awkward greetings with classmates in the same group, and even the small gift from the welcome committee were all new. When an upperclassman I met by chance at lunchtime recommended a dish at the school cafeteria, smiled, and told me not to worry, I felt a lot lighter inside.",What did an upperclassman recommend to the speaker?,Not sure,Library books,A dish at the school cafeteria,After-school club,3,A dish at the school cafeteria,0
17,212,Annie,Echo,"One warm and sunny afternoon, I took a walk with my dog, Buster, to a small neighborhood park. Usually, we take a short walk and then head back, but that day Buster was unusually energetic, so we walked much longer than usual. While resting on a bench midway, Buster climbed onto my lap and dozed off for a bit. We encountered a cat on the walk, and I was a bit surprised that Buster just quietly watched without barking. After finishing the walk and returning home, Buster quickly fell asleep, and the sight was quite adorable.",What behavior did Buster show on the bench during the walk?,Not sure,Played under the bench.,Came up onto my lap and dozed off for a bit.,Kept pacing back and forth beside the bench.,3,Came up onto my lap and dozed off for a bit.,0
18,412,Ben,Sophia,"I clearly remember visiting the Mission District in San Francisco with my friends not too long ago. The colorful houses stretched along the hillside, and hidden murals and sculptures in every alley made walking through the area an exciting experience. Especially at sunset, the view of the buildings under the yellow lights was so beautiful that I took dozens of photos with my phone. The district’s unique, lively atmosphere and the warm greetings from the locals also left a strong impression.",What time of day did the speaker find particularly impressive in the Mission District in San Francisco?,Not sure,At Sunset,Early morning,Midday,2,At Sunset,0
19,13,Hugh,Cyrus,"I remember taking the first subway at dawn in Paris and climbing up Montmartre Hill. I took a wrong turn and wandered briefly, but a kind local lady noticed I was confused and guided me to the right way. Thanks to her, I arrived in front of the Sacré-Cœur Basilica just before sunrise and was able to enjoy the cityscape dyed in red. That small act of kindness in an unfamiliar place has stayed with me for a long time.",Who helped when the speaker got lost in Paris?,Not sure,Police officer,Local woman,A friend,3,Local woman,0
20,213,Camila,Zoey,"While eating at a small restaurant in Tokyo, the owner suddenly asked us to pay before we finished our meal, which really confused us. In the U.S., we’re used to paying after we eat, so this was the first time I learned that some restaurants in Japan ask for payment when you order or even during the meal. I remember awkwardly pulling out my wallet with my friend.",What was the reason the speaker felt awkward at the restaurant in Tokyo?,Not sure,The food was too spicy.,Because the seating arrangement was different.,The bill was requested before finishing the meal.,4,The bill was requested before finishing the meal.,0
21,413,Patrick,Rachel,"Just three months into my new job, I was given my first project, and it turned out to be a lot harder than I thought. Our team had late-night meetings and kept revising our materials over and over. It was challenging, but after our presentation, our team leader smiled and praised us. We all felt proud and congratulated each other, then went out for burgers that evening to celebrate and recognize all the effort we’d put in.",What did the team do after the project presentation?,Not sure,Went straight home,Went out for burgers,Had a few drinks at a bar,3,Went out for burgers,0
22,14,Patrick,Logan,"A few days ago, my friend and I took a trip to Boston and found a great seafood place by the pier. We were excited to order, but my friend accidentally picked Manhattan clam chowder instead of New England-style. At first, we were surprised, but after trying it, we actually loved the rich broth. That happy mistake led us on a spontaneous soup tour, and we couldn’t stop laughing. Even now, we still tease each other whenever we look back at the photos from that day.",What did the speaker's friend accidentally order during the trip to Boston?,Not sure,Crab cakes,Manhattan-style clam chowder,Mixed seafood stew,3,Manhattan-style clam chowder,0
23,214,Glenda,Rebecca,"I still vividly remember staying at a small cabin on the lake in Michigan with my friends last summer. On the first night, our barbecue party was briefly interrupted by a sudden downpour, but we all put on raincoats and gathered on the outdoor terrace, and laughed as we grilled the meat. Listening to my friends' jokes along with the sound of the rain made the unusually hot summer night feel refreshing, and that moment remains my happiest summer vacation.",What did the speaker do with friends while wearing raincoats during summer vacation?,Not sure,Swimming in the lake,Grilling meat,Fishing,3,Grilling meat,0
