stimulus_num,old_num,name_target,name_interference,utterance,question,option1,option2,option3,option4,answer_index,answer,snr_db
1,97,Royce,Viktor,"Over the weekend, we decided to avoid crowded places and have a date at home. We looked through a cookbook together and made pasta, lighting candles on the table to set the mood. After dinner, we sat on the couch and watched an old movie we both liked. Talking about our food and enjoying homemade cookies as a snack made it a special day, even without going out.",What dish did the speaker and their partner cook together while having a date at home?,Not sure,Fried rice,Pasta,Pizza,3,Pasta,0
2,288,Margot,Chloe,"A few days ago, I rewatched an anime that I really loved when I was younger. At first, the main character didn’t fully believe in their own abilities, made several mistakes, and even had conflicts with friends. But in the end, thanks to the encouragement of their friends, they gained confidence and overcame a great trial. Watching that made me think I should also trust the support of the people around me and try again when things get tough.",What were the speaker's thoughts after rewatching the anime?,Not sure,They thought it was cool how the main character solved the problem alone.,They were surprised by how different the animation’s art style felt compared to when they were younger.,They thought that support from the people around them gives them the courage to keep trying.,4,They thought that support from the people around them gives them the courage to keep trying.,0
3,500,Landon,AnnabelletheGhost,"On my way to the convenience store near my house, I noticed a small mural that I hadn't seen before. On the alley wall, which I usually rushed past in my busy daily life, there was a painting of sunflowers and a cat that looked like it was drawn by children. Thanks to the bright colors, the entire alley looked bright, and I stopped walking for a moment to admire the artwork for a while. I became curious about who had painted it and was reminded that even an ordinary street can become special like this.",What animals were depicted in the painting on the wall?,Not sure,Puppy,Cat,Rabbit,3,Cat,0
4,99,Peter,Rusty,"A few days ago, I was struggling with my assignment late into the night when my mom quietly came into my room and handed me a warm glass of milk. Without saying a word, she just gently patted my back and left. That moment made me feel really warm inside. When I was little, I took my mom’s care for granted, but lately, with so many busy and tough days, I’ve come to truly appreciate her small acts of kindness. I’ve decided to thank her more often from now on.",What specific situation made the speaker feel their mother's love?,Not sure,Mom made breakfast.,Mom handed the speaker a warm glass of milk late at night.,Mom helped them with homework.,3,Mom handed the speaker a warm glass of milk late at night.,0
5,289,Maddie,Stephanie,"A few nights ago, I ended up watching the cartoon show ""SpongeBob,"" which I used to love as a child. I was deeply impressed by how the main character never gives up in tough situations and overcomes difficulties together with friends. When I was young, I simply enjoyed the adventure, but now I realize how valuable it is to cooperate with those around you rather than facing things alone. After a long time, feeling the importance of courage and friendship through a cartoon once again warmed my heart.","What new realization did the speaker have while rewatching ""SpongeBob""?",Not sure,The importance of collaboration,The fact that the resolution was low,The fact that the art style of the cartoon has changed,2,The importance of collaboration,0
6,501,Samantha,Neoguard,"A few days ago, I kept remembering the argument I had with my friend. I was in a really bad mood that day, and when my friend came over, worried, I ended up saying something irritated. At the moment, I thought it was a small thing, but I saw my friend’s face harden with disappointment. Since then, we haven't been in touch much, and it’s been weighing on me. What I regret most is not apologizing right away. If I could turn back time, I would have shared my true feelings first without getting swept up in my emotions.",What does the speaker regret the most?,Not sure.,Not saying goodbye to their friend.,They lost their temper with their friend and didn’t apologize right away.,They don't keep in touch with their friend often.,3,They lost their temper with their friend and didn’t apologize right away.,0
7,100,Logan,UncleHank,"A few days ago, I went on a trip to Seattle with some friends. Suddenly, a heavy rain shower started at the beach, and since we didn’t have umbrellas and there was no suitable place nearby to take shelter, everyone was caught off guard. In that moment, we rushed into a small café nearby, and the owner kindly lent us umbrellas, allowing us to safely return to our accommodation. It was an unexpected crisis, but thanks to the help of a local, it turned into a warm memory.","During a sudden rain shower while traveling in Seattle, where did the speaker take shelter from the rain?",Not sure,A convenience store,A small cafe,Subway station,3,A small cafe,0
8,290,Alex,Sophia,"I still vividly remember the time on a weekend evening when my family gathered in the living room to watch a movie, and we happened to choose ""Forrest Gump."" After the movie ended, seeing my mother quietly wipe away tears left a deep impression on me; every scene that once seemed simple carried a profound message about love for family and the randomness of life. Since that day, whenever I face difficulties, I find comfort in thinking about this movie.",What did the speaker’s mother do after the movie they watched ended?,Not sure,Wiped away her tears.,Smiled.,Talked about the movie.,2,Wiped away her tears.,0
9,502,NewscasterJohn,Jodie,"Wearing my new swimsuit, I felt a bit nervous as I stepped into the pool, but once I got in, the cold water felt surprisingly refreshing. At first, I just dipped my feet in, then put on a life jacket and slowly walked in the shallow end. The instructor held my hand, which eased my fear a little. My goggles fogged up, making everything blurry, but I still managed to paddle forward a few short times. Later, I tried kicking while holding onto the wall, and hearing my friend cheer me on gave me the courage I needed.",What was the reason the speaker’s fear decreased?,Not sure,The instructor held their hand.,The water was warm.,They put on the new goggles they bought.,2,The instructor held their hand.,0
10,101,Mark,Kanno,"I used to feel a bit uncomfortable around new people, but while traveling alone in Europe, I naturally started conversations during a walk along the night sea with friends I met at a guesthouse. Sharing stories and experiences during that time helped me open up more than I expected. Since then, I’ve become comfortable greeting others first and starting conversations even in unfamiliar settings. After the trip, I was able to get along easily with new colleagues at work. It was a change I never would have imagined before.",What change did the speaker experience as a result of the trip to Europe?,Not sure,They have started traveling frequently.,They have gained confidence in making friends with new people.,Their taste in food has changed.,3,They have gained confidence in making friends with new people.,0
