stimulus_num,old_num,name_target,name_interference,utterance,question,option1,option2,option3,option4,answer_index,answer,snr_db
1,59,Sean,Buddy,"A few days back, my younger sibling was feeling upset after an argument with a friend. Mom noticed and came over to sit with us, then started telling a story from when she was a kid. She explained that she’d gone through something similar, where a misunderstanding led to a falling out with her own friend. But when she decided to reach out first and apologize, they became even closer. Hearing her story made me remember a time I’d fought with a friend, too. Mom’s experience reminded me just how important it is to have the courage to take the first step.",What important value did the speaker's mother emphasize based on her own experience?,Not sure,Studying diligently,The courage to be the first to reach out and apologize,Traveling frequently,3,The courage to be the first to reach out and apologize,0
2,256,Tina,Lucille,"Last month, I decided to join a meditation group for the very first time. At first, sitting there quietly with my eyes closed, just focusing on my breath, honestly felt pretty awkward and unfamiliar. But as I kept at it, practicing every day for several days, I noticed a real difference—my anxious thoughts started to settle down, and I felt much more relaxed, even during situations that used to stress me out. Now, I genuinely understand how meditation can help bring a sense of inner peace.",What emotions did the speaker feel at the meditation gathering initially?,Not sure,Awkwardness,Anger,Joy,2,Awkwardness,0
3,460,Katie,Jeff,"I've been holed up at home studying for final exams for the past few days. I usually find it hard to sit at my desk for long, but this time, maybe because of the pressure, I lost track of time while working on problems. My mom peeled some tangerines for me as a snack, and the brief sweetness helped lift my mood a bit. Still, as the night went on, my anxiety grew, and I stayed up until dawn. I’m determined to go to bed early tomorrow.",What snack did the speaker's mom bring while the speaker was studying?,Not sure,Apple,Tangerine,Banana,3,Tangerine,0
4,60,Patrick,Walter,"A few days ago, I made amazing memories with my family in Hawaii. While picking up seashells on the beach, my younger sibling fell in the waves, and we all burst out laughing. My mom put a handmade lei around my neck. That evening, we listened to Hawaiian music under the palm trees and ate pineapple pizza, and I can still remember the taste. Next time, I want to go snorkeling with my whole family.",Which activity did the speaker not do with their family in Hawaii?,Not sure,Collecting seashells on the beach,Snorkeling,Listening to Hawaiian music under the palm trees,3,Snorkeling,0
5,257,Nova,Bell,"I usually keep breakfast simple, but today I prepared brunch with my younger sibling. We bought freshly baked baguettes from a small bakery near the house, and I made fried eggs and avocado salad at home. I brewed some warm coffee and enjoyed the meal slowly on the terrace while soaking up the sunlight. We laughed while talking about a movie we recently watched, with music playing. It was a relaxing and pleasant Saturday morning, unlike my usual routine.",Which food item did the speaker not eat during brunch?,Not sure,Baguette,Fried egg,Cheese omelette,4,Cheese omelette,0
6,461,Maddie,Matthew,"A few days ago, my friend landed a new job, so we decided to have a small party to celebrate the good news. We all agreed that everyone would bring a dish from their own home, and I chose to make meatloaf, using the same recipe my maternal grandmother used to make often when I was a kid. It had been quite a while since I last prepared it, so I felt a little nervous, but the aroma and texture turned out even better than I expected, and my friends really enjoyed it. Thanks to the food, that day became a special time for us to share memories together.",What food did the speaker bring to their friend's new job celebration party?,Not sure,Chicken salad,Meatloaf,Hard-boiled eggs,3,Meatloaf,0
7,61,CaptainBill,Hugh,"I like to go for walks on a nearby trail with my parents every weekend at sunset. My dad brings along our small dog, and my mom talks about her day. One time, it suddenly started raining, and we all ran to a nearby café, where we spent a long time laughing over warm tea. These simple moments make me feel closer to my family, so I cherish them deeply.",Where did the speaker's family go after getting caught in the rain?,Not sure,Restaurant,Cafe,Bookstore,3,Cafe,0
8,258,Annie,Natalie,"A few days ago, I went on my first overseas trip with my family to Bangkok, Thailand. At first, we got lost at the airport and broke into a sweat trying to communicate in English with the immigration officer. But as soon as we arrived at the hotel, a friendly local staff member greeted us warmly, which helped ease our nerves a bit. In the evening, we stopped by a night market to try some unique foods and took a bus to visit a temple. That night, the most memorable moment was gathering with my family in a foreign country, laughing as we shared stories about our mistakes.",When was the speaker’s most memorable moment while in a foreign country with their family?,Not sure,When they were eating food at the night market,When they first arrived at the hotel,"A night spent laughing together, sharing stories of their mistakes",4,"A night spent laughing together, sharing stories of their mistakes",0
9,462,Furnando,Hailey,"I visited a local food market in a new city with a friend. As soon as we walked in, the smell of fruit and spices was everywhere. I noticed an elderly woman selling small yellow dumplings. When I tried one, it was filled with potatoes and tasted really savory. I liked them so much that I bought two bags. On the bus ride back, I took one out to eat and chatted with my friend about how good they tasted.",What food did the speaker buy after sampling it at the market?,Not sure,Small yellow potato dumplings,Apple pie,Crepe filled with strawberry jam,2,Small yellow potato dumplings,0
10,62,Ron,Duke,"A few days ago, while organizing my photo album, I found pictures from a summer vacation trip with my high school friends. Despite the scorching weather, we splashed water on each other and laughed uncontrollably in the valley. In the evening, we all sat around eating watermelon and telling scary stories, and at night, we sang songs while playing the guitar by the bonfire. The moment that still stands out clearly is when we surprised a friend with a birthday cake we secretly prepared in the early morning.",What did the speaker and their friends do early in the morning during the summer trip?,Not sure,They played in the stream.,They played the guitar next to the campfire.,They surprised a friend with a birthday celebration.,4,They surprised a friend with a birthday celebration.,0
11,259,Emma,Valerie,"A few days ago, my dog Harry crossed the rainbow bridge. I can still see him wagging his tail and following right beside me every time we went for a walk. Since Harry passed, the familiar sound of him greeting me when I come home is gone, and an inexplicable emptiness washes over me. I haven't been able to put away the yellow toy that Harry loved, and I’ve been spending some time feeling heavy-hearted.",What is the item the speaker hasn't been able to put away since the dog Harry passed away?,Not sure,Red collar,Yellow toy,Blue blanket,3,Yellow toy,0
12,463,Slushy,Kelly,"While studying at the library with my friends, a classmate who often sat next to me quietly handed me some chocolate and started a conversation. From that day on, we began eating lunch together every day, sharing stories about our hobbies. One day, we even played basketball together on the playground and laughed. It was my first relationship, so I was really nervous, but I still cherish the memory of exchanging short, encouraging notes, which remains close to my heart.",What made the speaker start their first relationship?,Not sure,A classmate handed them some chocolate and started talking.,They happened to become close while playing basketball on the playground.,They helped someone with presentations during class.,2,A classmate handed them some chocolate and started talking.,0
13,63,Larry,Kanno,"A few days ago, my friends suddenly showed up at my house and threw me a birthday party, which really surprised me. I hadn’t planned anything special, but everyone came prepared with my favorite strawberry cake and handwritten letters, which touched me deeply. I was especially moved when Jacob handed me a paper bouquet he made himself to celebrate. What I thought would be an ordinary day turned into a precious memory that I’ll remember for a long time.",Who made and gave a paper bouquet as a gift at the birthday party?,Not sure,Maddie,Jacob,Joe,3,Jacob,0
14,260,Charlotte,Annie,"I left the window open, and my cat Max was quietly lying in the sunlight. Watching that, I realized that sometimes just spending peaceful time without doing anything is important. When Max is by my side, my mind feels much more at ease, and I find myself experiencing small moments of happiness more often. Amid a busy day, the sound of Max’s quiet breathing and his warm presence remind me to rest and relax.",What did Max do after the speaker opened the window?,Not sure,Looked out the window.,Walked around the room.,Lay in a sunlit spot.,4,Lay in a sunlit spot.,0
15,465,Grace,Benny,"On the bus ride home, I happened to hear a song from a band I used to listen to a lot through my earphones. At that moment, the scenery outside the window matched the music perfectly, and it brought back memories of going to an outdoor concert with my friends in high school. Feeling the excitement I had back then made me smile for no reason. It's amazing how music can sometimes take me back to the past and vividly bring those emotions back to life.",What memory came to the speaker’s mind while listening to music through their earphones?,Not sure,Traveling with family,Going to a concert venue with high school friends,Singing at the school festival,3,Going to a concert venue with high school friends,0
16,59,Buddy,Sean,"While walking through the narrow alleys of Venice, I accidentally got lost and met Lucas, a Brazilian studying abroad locally. He introduced me to a local restaurant, and we shared our travel stories over seafood risotto. After the meal, Lucas guided me through hidden alleyways, where we could see peaceful canal scenes with hardly any tourists. In the end, we exchanged Instagram accounts and promised to meet again on our next trip.",What did the speaker do with Lucas during their time together in Venice?,Not sure,Visited the museum with Lucas.,Went to a local restaurant Lucas recommended.,Watched an opera performance with Lucas.,3,Went to a local restaurant Lucas recommended.,0
17,256,Lucille,Tina,"After finishing a light jog at the park near my house, I felt sweaty all over my body. I first drank a glass of water, then took eggs and tomatoes out of the fridge. While boiling the eggs, I cut the tomatoes in half and added a bit of basil to make a simple salad. Adding a few almonds on the side made it both nutritious and tasty, allowing me to start the day feeling great.",Which of the following ingredients did the speaker not take out of the fridge when they were preparing breakfast after their morning jog?,Not sure,Eggs,Tomatoes,Walnut,4,Walnut,0
18,460,Jeff,Katie,"I clearly remember feeling really embarrassed when I first saw people greeting each other with cheek kisses right when I got to the airport. As an American, it seemed awkward, so I tried to avoid it at first. But then a local friend explained that it was the normal way to say hello there, and that helped me get used to it. Just a few days later, I was already greeting people by touching cheeks, and I was surprised at how quickly I picked it up.",What was the first local greeting that confused the speaker during their overseas trip?,Not sure,Waving hands,Kissing on the cheek,Bowing deeply,3,Kissing on the cheek,0
19,60,Walter,Patrick,"My friend mentioned he’d started learning guitar, so I decided to visit the practice room to see how he was doing. While I was there, he showed me a few basic chords, and to my surprise, they were easier to pick up than I thought. After leaving, I stopped by a music shop and bought a cheap secondhand guitar. That fun afternoon and my friend’s support really inspired me to start learning guitar myself, and I’ve been practicing ever since.",What was the reason the speaker started learning to play the guitar?,Not sure,Family member's recommendation.,Inspired by watching videos of famous guitarists.,Friend's recommendation and experience in the practice room.,2,Friend's recommendation and experience in the practice room.,0
20,257,Bell,Nova,"Lately, I’ve been feeling low on energy, so I started walking in the neighborhood park every evening. At first, even walking for just thirty minutes left me out of breath and my legs feeling heavy, but after about a week, I was able to walk the same distance much more easily. One day, a friend suddenly suggested jogging, and although I hesitated, I felt proud of myself for being able to keep up much more effortlessly than before. Thanks to this, I’ve gained confidence, started sleeping better, and now I have more energetic days than before.",What was the main reason the speaker started exercising?,Not sure,Because they felt like they lacked stamina,To lose weight,Trying to make new friends,2,Because they felt like they lacked stamina,0
