stimulus_num,old_num,name_target,name_interference,utterance,question,option1,option2,option3,option4,answer_index,answer,snr_db
1,45,Mark,KlipKim,"I recently started learning pottery, and at first, my hands kept slipping, so it took a long time to make even a small cup. However, my teacher advised me to slowly relax my grip, and gradually I was able to focus while feeling the temperature and texture of the clay. When I brought the finished cup home and showed it to my family, I felt a great sense of pride, and the biggest change in me was developing the patience not to give up even when I made mistakes.",What was the biggest change the speaker felt while doing pottery?,Not sure,Improved manual dexterity,Developed patience,Improved ability to choose colors,3,Developed patience,0
2,246,Annie,Verna,"Last spring, during our honeymoon, we happened to visit a small beach town recommended by a local. It was quiet with hardly any tourists, and the sunset reflecting on the sea was truly beautiful. I still vividly remember the sweet mango juice we had at a café there and the time my husband and I spent sitting on the sand, picking up seashells and talking. The air, the sounds, and the scent of exotic flowers we had never seen before all combined to make that place a special memory for us.",What did this couple not do in the beach town during their honeymoon?,Not sure,Drank mango juice.,Picked up seashells on the sandy beach.,Went shopping at the local market.,4,Went shopping at the local market.,0
3,448,PN,Paige,"I still vividly remember the view outside the window when I rode a submarine descending into the deep ocean. It was so dark and mysterious because almost no light reached that far. The most impressive sight was a group of transparent jellyfish that suddenly zipped past us, and when a colleague shouted that they had spotted a small deep-sea fish, everyone turned to look. Near the end of the exploration, even the faint sounds hitting the submarine’s walls became clear, creating a tense atmosphere.",What was it that caught everyone's attention during the exploration?,Not sure,Small deep-sea fish,Pod of whales,Deep-sea rocks,2,Small deep-sea fish,0
4,46,Ron,Edward,"Last winter, I prepared dinner at home with my family for Christmas after a long time. We each took charge of cooking different dishes: I made the potato salad, my younger sibling baked a cake, my mom roasted chicken in the oven, and my dad decorated the tree. After the meal, we exchanged gifts and took family photos. I remember spending the evening filled with warmth and laughter, sharing stories with each other after such a long time.",What role did the speaker's dad play on Christmas evening?,Not sure,Grilling chicken,Decorating the tree,Making a cake,3,Decorating the tree,0
5,247,Hailey,Sylvia,"A few days ago, my family and I decided to redecorate the living room wall. It took us quite a while to choose the wallpaper online together, and when we finally started putting it up ourselves, we struggled at first with glue all over our hands. My younger sibling kept sticking it on crookedly, which made us burst out laughing. In the end, by working together, we were able to finish it looking much nicer than expected. With the wall transformed, the whole atmosphere of the house seemed much brighter.","While doing the wallpaper work, who in the family put up the wallpaper crookedly?",Not sure,Father,Younger sibling,Me,3,Younger sibling,0
6,449,Bell,Jackson,"I still vividly remember staying up all night at the library working on an app development project with my team. My initial role was design, but suddenly, one team member had to leave due to personal reasons, so I ended up taking on the backend as well. Unexpected errors kept cropping up, making it tough for everyone, but we encouraged each other and ultimately finished the project a day before the deadline. That experience taught me the value of teamwork and how to adapt flexibly.",What role was the speaker originally assigned?,Not sure,Backend,Deployment,Design,4,Design,0
7,48,UncleHank,Nathan,"The project that my team and I had been working on late into the night for several days was finally completed today. After finishing the presentation, everyone applauded, and it felt like all our hard work had been rewarded instantly. Forgetting our fatigue, we shared a celebratory cake at a nearby café while praising each other's efforts. I want to remember this moment for a long time.",Where did the team members celebrate after the project ended?,Not sure,Office,Cafe,Restaurant,3,Cafe,0
8,248,Tina,Abigail,"While looking out the window, I happened to see a small bird land on the flower bed. The bird had gray feathers with a hint of green and gently preened itself in the sunlight. After a moment, I noticed droplets of water sparkling on the leaves, shining like tiny jewels, and I found myself gazing at them in awe for a while. Every time the wind blew, the leaves and water droplets swayed together, reflecting the sunlight in a truly captivating way.",What was the color of the feathers of the bird that landed in the flower bed?,Not sure,Yellow and white,Gray with a hint of green,Blue and black,3,Gray with a hint of green,0
9,450,CaptainBill,Nia,"I clearly remember a rainy day when we stayed late at the library working on a group project presentation. We each took on different roles to complete the presentation materials, but one friend suddenly fell ill and had to go home halfway through. The three of us stayed up all night preparing not only our parts but also our friend’s. Despite our tired faces, we successfully finished the presentation the next day. The tension and strong bond among the team back then remain unforgettable even after all this time.",What happened to one of the team members while preparing the project at the library?,Not sure,Suddenly started feeling unwell.,Was late because they overslept.,Forgot their supplies.,2,Suddenly started feeling unwell.,0
10,49,Aaron,KilliantheVampire,"When I was a kid, I remember going to the market with my mom one afternoon, and out of nowhere, it started pouring rain. We only had one umbrella between us, so my mom made sure I was covered while she ended up getting completely soaked. When we finally got home, her clothes were absolutely drenched, and that image has always stuck with me. Ever since that day, I’ve really understood how important it is to look out for others, and I always try to show small acts of kindness whenever I can.",What did the speaker’s mother do when it started raining while they were at the market?,Not sure,She borrowed an umbrella.,She bought an umbrella.,She put the umbrella over the speaker and got wet in the rain herself.,4,She put the umbrella over the speaker and got wet in the rain herself.,0
11,249,Grace,Harper,"A few days ago, I got back into the hobby of making miniature furniture out of paper. Crafting small sofas and bookshelves required a lot of focus as I carefully handled colored paper and glue. When a friend came over and admired the finished miniatures, I encouraged them to try making a small table right then and there. Seeing the completed furniture neatly arranged in a small box filled me with a sense of pride.",What did the speaker recommend to the friend when making miniature furniture?,Not sure,Suggested trying to draw together.,Recommended trying to make a small table.,Gave finished furniture as a gift.,3,Recommended trying to make a small table.,0
12,451,Duke,Stephanie,"For the past few days, I’ve been staying late at school with my team, working on our graduation project. I remember when the computer suddenly shut off while we were working, and we lost some unsaved files, which left us all in shock. After that, we grabbed a quick dinner at a ramen place near campus, then came back and worked to recover everything until late at night. Even so, we kept joking around and managed to get through it, so I’m glad we finished in the end.",Where did the team have dinner while preparing for their graduation project?,Not sure,School cafeteria,A ramen place near the school,Team member's house,3,A ramen place near the school,0
13,52,River,Damian,"A few days ago, the sound of rain outside the window wouldn’t stop, and it reminded me of the rainy season when I was a kid. Back then, I stayed at my grandmother’s house, and when it rained for several days, small puddles would form in the yard. My cousins and I would run outside without umbrellas, completely forgetting that our shoes were soaking wet. That day, when the rain eased up a bit, my grandmother served us warm pancakes she had made herself, and I still vividly remember the taste, enjoyed with the sound of the rain.",What food did the speaker’s grandmother prepare during the rainy season in their childhood?,Not sure,Spicy rice cakes,Pancakes,Knife-cut noodles,3,Pancakes,0
14,250,Janet,Kristen,"Lately, I've become completely absorbed in the hobby of writing in my journal with a fountain pen at a nearby park. The unique flow of the ink and the subtle resistance felt on the paper provide more healing than I expected. Especially when I use dark blue ink, it always brings back memories of secretly taking out my father's fountain pen from his desk drawer and trying it out when I was a kid. These days, if there's a quote I want to remember, I jot it down briefly at the end of my diary entry.",What ink color reminded the speaker of memories when they wrote in their journal?,Not sure,Bright green,Dark red,Dark blue,4,Dark blue,0
