stimulus_num,old_num,name_target,name_interference,utterance,question,option1,option2,option3,option4,answer_index,answer,snr_db
1,84,Sean,Tyson,"These days, every weekend, I spend time riding bikes with my family at a park near our house. At first, my younger sibling wasn't very good at biking, so we often stopped and waited, but now everyone can ride at about the same pace. While biking, we take turns leading and following, having little conversations along the way, and we share fruit and drinks on a bench about halfway through. Spending time like this together makes me feel closer to my family, and now I look forward to this time every week.",What did the speaker share while riding bikes in the park with their family?,Not sure,Fruit and drinks,Sandwich and coffee,Rice cake and milk,2,Fruit and drinks,0
2,278,Lindsay,Kelly,"Every Christmas, we have a small family party at home, but this year was extra special because my younger sibling brought a homemade cake. Mom passed around warm cookies fresh from the oven, and Dad surprised us by dressing up as Santa and handing out presents, which made everyone laugh and smile. What I remember most is when my sibling cut the cake, and we enjoyed it together while opening our gifts.",What did the speaker's younger sibling bring to the family party this Christmas?,Not sure,Cookies taken out of the oven,Homemade cake,Santa costume,3,Homemade cake,0
3,486,KilliantheVampire,Shana,"Today, I slowly walked through the park near my house holding an umbrella. The sound of raindrops rolling off the leaves was more calming than I expected. Even the small pond, which I usually just passed by, looked quieter and more peaceful in the rain. I gazed at it for a while and felt the heavy thoughts weighing on my mind lighten a bit. On the way back home, my shoes got wet, but strangely, I didn’t even mind it.",What made the speaker feel noticeably lighter in spirit while taking a walk on a rainy day?,Not sure,Because they exercised at the park,Because they were looking at the calm surface of the small pond,Because they were on the phone with a friend,3,Because they were looking at the calm surface of the small pond,0
4,86,Sean,Royce,"A few days ago, when I met up with my friends after a long time, we reminisced about running the concession stands at our high school festival. I was in charge of cooking, and there were more customers than expected, so I kept making the food without taking a break. At one point, I accidentally burnt the food, making it inedible, so we laughed while throwing the food out. Thanks to that experience, my voice was hoarse by the end of the festival, but it was a valuable time that brought me closer to my classmates.",What role did the speaker have at the school festival?,Not sure,Person in charge of cooking,Customer service representative,Festival host,2,Person in charge of cooking,0
5,279,Camila,Janet,"Recently, I went for a walk in a park near our house with my parents and younger sibling. Everyone seemed happy, enjoying a rare leisurely weekend. Mom sat on a bench and peeled the oranges she brought, while Dad played badminton with my sibling. I took photos along the walking path, capturing moments of my family. On the way home, we shared some strawberry pastries Dad bought, ending the day with a warm feeling.",What snacks did the family eat at the park during the conversation?,Not sure,Oranges,Not sure,Potato chips,2,Oranges,0
6,487,Jake,Athena,"I was working late on an assignment at the library when I happened to run into my school friend Mikayla. We quietly shared how tough our days had been and sipped warm coffee together. Mikayla listened thoughtfully to my worries and even made a little joke, which suddenly lifted a weight off my heart. Since that day, we've been in touch more often and spent more time together, naturally becoming someone each other can rely on. It’s a simple, everyday connection, but this kind of bond makes college life feel more special.",What did the speaker say they did with Mikayla at the library that made them feel relieved?,Not sure,They worked out together.,They shared warm coffee and had a conversation.,They sang together.,3,They shared warm coffee and had a conversation.,0
7,88,Icarus,Brad,"Today, instead of our usual short walk, I took my dog Bella a bit farther, all the way to the riverside park. Bella was instantly fascinated, wagging his tail with excitement when he spotted a flock of ducks for the very first time. I found a bench and sat down, sharing some snacks with him while we took a little break. Watching Bella run and play on the grass made me appreciate those small moments of happiness that often get lost in my busy everyday life.",Where did the speaker take a special walk with the dog Bella today?,Not sure,Apartment playground,Supermarket near home,Riverside park,4,Riverside park,0
8,280,Catherine,Amber,"A few days ago, I gave my friends ceramic cups that I made myself, and everyone complimented how beautiful they were. At first, I was clumsy working with the clay, so the shapes of the cups were uneven, but after trying several times, I gradually got the hang of it. When I saw the finished products after glazing and firing them in the kiln, I felt a great sense of pride. I also felt a small sense of accomplishment when my friends sent me photos using the cups. It made me want to create more diverse pieces in the future.",What was the item that the speaker personally made and felt a sense of accomplishment from?,Not sure,Ceramic cups,Hand-knitted scarf,Wooden picture frame,2,Ceramic cups,0
9,488,Liz,Owen,"A few years ago, I vividly remember hiking Mount Monadnock in New Hampshire with my friends. It was peak autumn foliage season, and the entire mountain was painted in shades of red and yellow. Although it was tough to reach the summit, when I stood at the top and took in the colorful ridges below, the clear sky, and the distant East Sea all at once, I was almost breathless from the beauty. The piece of candy I ate at the summit tasted much better than usual.",What was the most impressive thing the speaker saw at Mount Monadnock?,Not sure,City nightscape,Mountains painted red and yellow with autumn foliage,Waterfall,3,Mountains painted red and yellow with autumn foliage,0
10,89,Viktor,George,"A few days ago, I went to the lantern festival in the neighborhood with my child. When my child wrote a wish on the blue lantern they had chosen themselves and hung it up, the look of excitement on their face was absolutely adorable. As the parade began, my child waved and smiled brightly, and on the way home, they said today was the happiest day. I don’t think I’ll ever forget that moment.",Which color lantern did the speaker’s child choose at the festival?,Not sure,Yellow,Blue,Green,3,Blue,0
